sampleID	Files	Replicate	Condition
CON1	CON1.featurecount	1	Control
CON2	CON2.featurecount	2	Control
CON3	CON3.featurecount	3	Control
DA1	DA1.featurecount	1	DaDaOE
DA2	DA2.featurecount	2	DaDaOE
DA3	DA3.featurecount	3	DaDaOE
SCUTE1	SCUTE1.featurecount	1	ScOE
SCUTE2	SCUTE2.featurecount	2	ScOE
SCUTE3	SCUTE3.featurecount	3	ScOE
